#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
75,Latvia,"975,738",,"6,231                                ",,"969,131",,376,13,"527,758","3,370","7,862,172","4,252,496","1,848,837 ",Europe,,22970,,,203,
76,Saudi Arabia,"828,793",,"9,598                                ",,"816,172",,"3,023",31,"23,122",268,"45,104,000","1,258,310","35,844,909 ",Asia,,"433,7351",,,84,
77,Azerbaijan,"828,292",,"10,101                                ",,"818,071",,120,,"80,415",981,"7,510,900","729,199","10,300,205 ",Asia,,"121,0201",,,12,
78,Paraguay,"806,790",,"19,843                                ",,N/A,N/A,N/A,7,"110,431","2,716","2,657,506","363,751","7,305,843 ",South America,,93683,,,"12,131",
79,Bahrain,"700,835",,"1,544                                ",,"698,541",,750,15,"392,848",865,"10,688,096","5,991,142","1,783,983 ",Asia,,"31,1550",,,420,
80,Sri Lanka,"672,017",,"16,829                                ",,"655,185",,3,,"31,147",780,"6,486,117","300,619","21,575,842 ",Asia,,"321,2823",,,0.1,
81,Kuwait,"662,858",,"2,570                                ",,"660,237",,51,,"151,326",587,"8,455,743","1,930,391","4,380,326 ",Asia,,"71,7041",,,12,
82,Dominican Republic,"660,492",,"4,384                                ",,"644,785",,"11,323",4,"59,739",397,"3,740,928","338,350","11,056,370 ",North America,,"172,5223",,,"1,024",
83,Cyprus,"645,515",,"1,293                                ",,"639,436",,"4,786",60,"527,646","1,057","9,640,118","7,879,860","1,223,387 ",Asia,,29460,,,"3,912",
84,Myanmar,"633,877",,"19,490                                ",,"614,355",,32,,"11,478",353,"10,005,920","181,178","55,227,143 ",Asia,,"872,8346",,,0.6,
85,Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541 ",Asia,,99892,,,30,
86,Estonia,"614,526",,"2,926                                ",,"524,990",,"86,610",2,"464,877","2,213","3,667,721","2,774,562","1,321,910 ",Europe,,24520,,,"65,519",
87,Moldova,"600,916",,"11,964                                ",,"504,142",,"84,810",49,"149,736","2,981","3,216,305","801,437","4,013,171 ",Europe,,73351,,,"21,133",
88,Venezuela,"551,904",,"5,852                                ",,"545,587",,465,36,"18,858",200,"3,359,014","114,771","29,266,991 ",South America,,"535,0019",,,16,
89,Egypt,"515,698",,"24,613                                ",,"442,182",,"48,903",122,"4,858",232,"3,693,367","34,792","106,156,692 ",Africa,,"2064,31329",,,461,
90,Libya,"507,170",,"6,437                                ",,"500,729",,4,,"72,034",914,"2,483,446","352,725","7,040,745 ",Africa,,"141,0943",,,0.6,
91,Ethiopia,"499,833",,"7,572                                ",,"487,084",,"5,177",,"4,137",63,"5,477,289","45,337","120,812,698 ",Africa,,"24215,95522",,,43,
92,Qatar,"493,259",,686                                ,,"492,316",,257,1,"165,528",230,"4,065,369","1,364,257","2,979,915 ",Asia,,"64,3441",,,86,
93,Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061 ",Africa,,29861,,,"73,888",
94,Honduras,"471,557",,"11,109                                ",,N/A,N/A,N/A,105,"46,135","1,087","1,626,616","159,141","10,221,247 ",North America,,229206,,,"32,081",
95,Armenia,"446,332",,"8,719                                ",,"435,162",,"2,451",,"150,181","2,934","3,242,901","1,091,164","2,971,966 ",Asia,,73411,,,825,
96,Bosnia and Herzegovina,"401,510",,"16,266                                ",,"379,084",,"6,160",,"123,568","5,006","1,884,721","580,036","3,249,317 ",Europe,,82002,,,"1,896",
97,Oman,"399,449",,"4,628                                ",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993 ",Asia,,"131,1500",,,"1,907",
98,North Macedonia,"346,733",,"9,653                                ",,"336,974",,106,,"166,594","4,638","2,223,705","1,068,419","2,081,304 ",Europe,,62161,,,51,
99,Kenya,"342,874",,"5,688                                ",,"337,146",,40,1,"6,099",101,"3,967,062","70,569","56,215,221 ",Africa,,"1649,88314",,,0.7,
100,Zambia,"342,317",,"4,051                                ",,"337,226",,"1,040",,"17,582",208,"3,902,930","200,456","19,470,234 ",Africa,,"574,8065",,,53,
101,Albania,"334,273",,"3,595                                ",,"329,037",,"1,641",,"116,619","1,254","1,941,032","677,173","2,866,374 ",Europe,,97971,,,573,
102,Botswana,"329,595",,"2,801                                ",,"326,546",,248,1,"135,016","1,147","2,026,898","830,300","2,441,162 ",Africa,,78721,,,102,
103,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,,25670,,,"11,883",
104,Montenegro,"287,244",,"2,800                                ",,"283,839",,605,6,"457,431","4,459","2,707,869","4,312,237","627,950 ",Europe,,22240,,,963,
105,Brunei ,"276,825",,225                                ,,"243,601",,"32,999",3,"621,477",505,"717,784","1,611,437","445,431 ",Asia,,"21,9801",,,"74,083",
106,Algeria,"271,424",,"6,881                                ",,"182,780",,"81,763",,"5,985",152,"230,861","5,091","45,350,148 ",Africa,,"1676,591196",,,"1,803",
107,Nigeria,"266,463",,"3,155                                ",,"259,850",,"3,458",11,"1,229",15,"5,708,974","26,339","216,746,934 ",Africa,,"81368,70038",,,16,
108,Zimbabwe,"263,642",,"5,662                                ",,"256,693",,"1,287",12,"17,196",369,"2,525,756","164,744","15,331,428 ",Africa,,"582,7086",,,84,
109,Uzbekistan,"250,850",,"1,637                                ",,"241,486",,"7,727",23,"7,296",48,"1,377,915","40,077","34,382,084 ",Asia,,"13721,00325",,,225,
110,Mozambique,"232,819",,"2,237                                ",,"228,805",,"1,777",11,"7,036",68,"1,371,127","41,437","33,089,461 ",Africa,,"14214,79224",,,54,
111,Martinique,"229,807",,"1,098                                ",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087 ",North America,,23410,,,"611,101",
112,Laos,"218,006",,758                                ,,N/A,N/A,N/A,,"29,141",101,"1,233,207","164,845","7,481,023 ",Asia,,"349,8696",,,"28,016",
113,Afghanistan,"209,072",,"7,896                                ",,"189,153",,"12,023",45,"5,130",194,"1,195,583","29,336","40,754,388 ",Asia,,"1955,16134",,,295,
114,Iceland,"208,921",,229                                ,,N/A,N/A,N/A,2,"604,879",663,"1,996,384","5,780,036","345,393 ",Europe,,"21,5080",,,"385,089",
115,Kyrgyzstan,"206,611",,"2,991                                ",,"196,406",,"7,214",131,"30,708",445,"1,907,195","283,460","6,728,271 ",Asia,,"332,2504",,,"1,072",
116,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,,"321,5493",,,"2,770",
117,Guadeloupe,"201,704",,"1,010                                ",,N/A,N/A,N/A,19,"504,520","2,526","938,039","2,346,306","399,794 ",North America,,23960,,,"496,366",
118,Trinidad and Tobago,"188,511",,"4,336                                ",,"184,040",,135,8,"134,020","3,083","894,050","635,617","1,406,585 ",North America,,73242,,,96,
119,Maldives,"185,723",,311                                ,,"163,687",,"21,725",25,"343,305",575,"2,213,831","4,092,223","540,985 ",Asia,,"31,7400",,,"40,158",
120,Ghana,"171,152",,"1,462                                ",,"169,678",,12,2,"5,283",45,"2,529,089","78,069","32,395,450 ",Africa,,"18922,15813",,,0.4,
121,Namibia,"171,059",,"4,090                                ",,"166,592",,377,,"64,946","1,553","1,062,663","403,460","2,633,874 ",Africa,,156442,,,143,
122,Uganda,"170,464",,"3,630                                ",,"100,431",,"66,403",3,"3,520",75,"3,012,408","62,198","48,432,863 ",Africa,,"28413,34216",,,"1,371",
123,Jamaica,"154,065",,"3,500                                ",,"102,393",,"48,172",,"51,611","1,172","1,183,986","396,633","2,985,094 ",North America,,198533,,,"16,138",
124,Cambodia,"138,706",+1,"3,056                                ",,"135,647",+3,3,,"8,079",178,"3,091,420","180,062","17,168,639 ",Asia,,"1245,6186",0.06,,0.2,
125,Rwanda,"133,170",,"1,468                                ",,"131,634",,68,,"9,792",108,"5,959,042","438,150","13,600,464 ",Africa,,"1029,2652",,,5,
126,Cameroon,"123,993",,"1,965                                ",,"118,616",,"3,412",13,"4,442",70,"1,751,774","62,762","27,911,548 ",Africa,,"22514,20416",,,122,
127,Malta,"117,248",,826                                ,,"115,846",,576,4,"264,052","1,860","2,111,209","4,754,622","444,033 ",Europe,,45380,,,"1,297",
128,Barbados,"106,434",,573                                ,,"105,850",,11,,"369,533","1,989","792,463","2,751,388","288,023 ",North America,,35030,,,38,
129,Angola,"105,184",,"1,931                                ",,"103,216",,37,,"3,003",55,"1,499,795","42,818","35,027,343 ",Africa,,"33318,13923",,,1,
130,Channel Islands,"101,258",,227                                ,,"100,927",,104,,"573,820","1,286","1,252,808","7,099,551","176,463 ",Europe,,27770,,,589,
131,French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169 ",South America,,37480,,,"274,906",
132,DRC,"95,646",,"1,464                                ",,"84,282",,"9,900",,"1,004",15,"846,704","8,890","95,240,792 ",Africa,,"99665,055112",,,104,
